,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
325,@CBSNews,Wed Mar 07 23:36:45 +0000 2018,0.0,0.0,1.0,0.0,26
326,@CBSNews,Wed Mar 07 23:34:48 +0000 2018,-0.3818,0.0,0.88,0.12,27
327,@CBSNews,Wed Mar 07 23:33:00 +0000 2018,-0.4767,0.0,0.866,0.134,28
328,@CBSNews,Wed Mar 07 23:30:01 +0000 2018,0.0,0.0,1.0,0.0,29
329,@CBSNews,Wed Mar 07 23:10:03 +0000 2018,-0.3612,0.0,0.884,0.116,30
330,@CBSNews,Wed Mar 07 23:06:30 +0000 2018,0.4215,0.157,0.843,0.0,31
331,@CBSNews,Wed Mar 07 22:50:01 +0000 2018,0.5267,0.183,0.739,0.078,32
332,@CBSNews,Wed Mar 07 22:30:02 +0000 2018,0.3551,0.101,0.899,0.0,33
333,@CBSNews,Wed Mar 07 22:10:01 +0000 2018,0.0,0.0,1.0,0.0,34
334,@CBSNews,Wed Mar 07 21:50:01 +0000 2018,-0.4767,0.0,0.788,0.212,35
335,@CBSNews,Wed Mar 07 21:30:01 +0000 2018,0.0,0.0,1.0,0.0,36
336,@CBSNews,Wed Mar 07 21:10:01 +0000 2018,0.0,0.0,1.0,0.0,37
337,@CBSNews,Wed Mar 07 20:50:56 +0000 2018,0.128,0.134,0.711,0.155,38
338,@CBSNews,Wed Mar 07 20:30:32 +0000 2018,0.0,0.0,1.0,0.0,39
339,@CBSNews,Wed Mar 07 20:06:11 +0000 2018,0.0,0.0,1.0,0.0,40
340,@CBSNews,Wed Mar 07 20:03:14 +0000 2018,0.5719,0.171,0.829,0.0,41
341,@CBSNews,Wed Mar 07 19:52:22 +0000 2018,0.0,0.0,1.0,0.0,42
342,@CBSNews,Wed Mar 07 19:50:17 +0000 2018,-0.1027,0.09,0.8,0.11,43
343,@CBSNews,Wed Mar 07 19:29:01 +0000 2018,0.5859,0.202,0.798,0.0,44
344,@CBSNews,Wed Mar 07 18:59:31 +0000 2018,0.2023,0.135,0.766,0.099,45
345,@CBSNews,Wed Mar 07 18:55:01 +0000 2018,-0.5574,0.0,0.816,0.184,46
346,@CBSNews,Wed Mar 07 18:20:01 +0000 2018,-0.743,0.0,0.741,0.259,47
347,@CBSNews,Wed Mar 07 18:12:04 +0000 2018,0.3182,0.127,0.797,0.076,48
348,@CBSNews,Wed Mar 07 18:05:38 +0000 2018,0.0,0.0,1.0,0.0,49
349,@CBSNews,Wed Mar 07 18:01:16 +0000 2018,-0.2263,0.0,0.909,0.091,50
350,@CBSNews,Wed Mar 07 17:56:03 +0000 2018,0.0,0.0,1.0,0.0,51
351,@CBSNews,Wed Mar 07 17:52:34 +0000 2018,0.4215,0.135,0.865,0.0,52
352,@CBSNews,Wed Mar 07 17:47:05 +0000 2018,0.4767,0.134,0.866,0.0,53
353,@CBSNews,Wed Mar 07 17:44:23 +0000 2018,-0.2263,0.0,0.863,0.137,54
354,@CBSNews,Wed Mar 07 17:40:58 +0000 2018,0.0,0.0,1.0,0.0,55
355,@CBSNews,Wed Mar 07 17:38:15 +0000 2018,-0.6908,0.0,0.773,0.227,56
356,@CBSNews,Wed Mar 07 17:32:01 +0000 2018,0.0,0.0,1.0,0.0,57
357,@CBSNews,Wed Mar 07 17:28:31 +0000 2018,0.0,0.0,1.0,0.0,58
358,@CBSNews,Wed Mar 07 17:25:12 +0000 2018,0.0,0.0,1.0,0.0,59
